0.048950 1254.808800 703.727500 0.098690 26.705437 0.016480
0.164120 1275.747200 687.151500 0.098390 26.019065 0.016480
0.278990 1290.979200 708.246000 0.016970 660.789003 0.098020
0.393980 657.552000 520.065000 0.230170 341.100647 0.065550
0.689700 410.188800 285.201000 0.016350 77.339716 0.016420
0.722470 478.783200 320.925500 0.101080 59.125868 0.016420
0.839970 439.223153 276.983824 0.312430 33.856259 0.015810
1.168210 425.294400 246.125500 0.425050 113.923682 0.016360
1.609620 470.719200 350.601300 0.081790 50.778097 0.016660
1.708070 428.131200 322.948500 0.016540 371.172647 0.098510
1.823120 799.243200 316.239000 0.016050 67.061737 0.016790
1.855960 839.825977 262.850660 0.920220 11.107632 0.016480
2.792660 850.921050 263.378719 0.262580 19.993819 0.016230
3.071470 870.088800 257.691000 0.016730 427.354993 0.083000
3.171200 1294.256600 309.786750 0.196230 28.500490 0.016600
3.384030 1286.643456 337.251600 0.427070 10.020630 0.016720
3.827820 1290.143400 327.862062 0.459350 799.424933 0.147890
4.435060 521.189760 546.472500 0.098810 171.092707 0.065800
4.599670 375.049500 457.502062 0.328250 43.926635 0.033260
4.961180 417.217662 469.806346 0.295290 371.149469 0.066100
5.322570 782.224800 537.050063 0.147640 89.230308 0.032660
5.502870 766.500000 449.216250 0.032710 49.297131 0.016480
5.552060 812.336000 431.070500 0.049620 117.784229 0.049320
5.651000 834.960000 546.661500 0.016240 64.922644 0.032960
5.700200 844.473221 482.439632 0.312070 43.044302 0.017760
6.030030 846.249600 439.432000 0.047910 69.990294 0.016730
6.094670 855.910720 508.752300 0.327940 70.650237 0.016600
6.439210 833.296800 441.819000 0.018680 422.455708 0.096490
6.554380 1251.041867 504.730722 0.461000 56.151146 0.017700
7.033080 1277.430000 554.295000 0.030950 71.488113 0.016540
7.080570 1235.875200 612.465000 0.035150 61.406435 0.013920
7.129640 1278.748800 568.503600 0.082340 40.310498 0.016170
7.228150 1278.879000 528.193313 0.131650 106.073099 0.033140
7.392940 1368.578400 471.576000 0.016060 99.691943 0.036500
7.445500 1295.640436 539.535818 0.177300 33.462060 0.032780
7.655580 1313.088000 510.982500 0.016110 708.891304 0.115050
7.786740 634.603200 716.373000 0.016730 77.311879 0.016110
7.819580 557.905600 726.099500 0.051570 111.948566 0.018130
7.889280 451.893867 762.071625 1.082030 115.223718 0.031250
9.002560 558.196800 806.526000 0.016240 109.785080 0.033320
9.052120 452.625600 776.401500 0.016180 350.169300 0.082330
9.150630 802.771200 772.327500 0.016300 40.142834 0.033200
9.200130 819.872900 736.009750 0.426150 46.354065 0.016480
9.642760 859.926900 759.341625 0.131410 10.246332 0.016850
9.791020 860.197800 749.098875 0.065180 39.739538 0.016480
9.872680 824.922000 767.397750 0.032840 43.011802 0.016290
9.921810 856.509877 738.204923 0.427130 354.281426 0.065730
10.414670 1209.503400 768.386062 0.131780 72.620004 0.032410
10.578860 1281.816738 761.719269 0.263910 108.256289 0.033210
10.875980 1376.682720 709.566900 0.097410 77.806322 0.049500
11.022890 1298.984400 705.468750 0.033020 40.382999 0.016720
11.072630 1303.312717 745.619121 0.492860 0.000000 0.016720
